=== ConvDQN_v3_16x16_dense_seed0 ===
/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run cfxdde3k
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260515_114819-cfxdde3k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed0
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/cfxdde3k
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 100 | Score: 0 | Record: 2 | Mean: 0.21 | ε: 0.980 | Steps: 8,786
Game 200 | Score: 0 | Record: 2 | Mean: 0.21 | ε: 0.962 | Steps: 16,687
Game 300 | Score: 0 | Record: 2 | Mean: 0.22 | ε: 0.944 | Steps: 24,482
Game 400 | Score: 0 | Record: 2 | Mean: 0.22 | ε: 0.925 | Steps: 32,443
Game 500 | Score: 0 | Record: 2 | Mean: 0.22 | ε: 0.905 | Steps: 41,057
Game 600 | Score: 0 | Record: 2 | Mean: 0.23 | ε: 0.887 | Steps: 49,136
Game 700 | Score: 0 | Record: 2 | Mean: 0.25 | ε: 0.868 | Steps: 57,393
Game 800 | Score: 0 | Record: 2 | Mean: 0.27 | ε: 0.851 | Steps: 64,767
Game 900 | Score: 0 | Record: 2 | Mean: 0.29 | ε: 0.831 | Steps: 73,311
Game 1000 | Score: 1 | Record: 2 | Mean: 0.32 | ε: 0.815 | Steps: 80,425
Game 1100 | Score: 1 | Record: 2 | Mean: 0.34 | ε: 0.798 | Steps: 87,883
Game 1200 | Score: 0 | Record: 3 | Mean: 0.37 | ε: 0.780 | Steps: 95,579
Game 1300 | Score: 2 | Record: 3 | Mean: 0.40 | ε: 0.763 | Steps: 102,837
Game 1400 | Score: 1 | Record: 3 | Mean: 0.43 | ε: 0.747 | Steps: 109,813
Game 1500 | Score: 1 | Record: 3 | Mean: 0.47 | ε: 0.730 | Steps: 117,268
Game 1600 | Score: 2 | Record: 3 | Mean: 0.50 | ε: 0.713 | Steps: 124,768
Game 1700 | Score: 1 | Record: 3 | Mean: 0.53 | ε: 0.698 | Steps: 131,026
Game 1800 | Score: 1 | Record: 3 | Mean: 0.56 | ε: 0.683 | Steps: 137,690
Game 1900 | Score: 1 | Record: 3 | Mean: 0.60 | ε: 0.668 | Steps: 144,050
Game 2000 | Score: 2 | Record: 4 | Mean: 0.63 | ε: 0.654 | Steps: 150,329
Game 2100 | Score: 2 | Record: 4 | Mean: 0.66 | ε: 0.639 | Steps: 156,953
Game 2200 | Score: 0 | Record: 4 | Mean: 0.69 | ε: 0.624 | Steps: 163,274
Game 2300 | Score: 1 | Record: 4 | Mean: 0.72 | ε: 0.610 | Steps: 169,432
Game 2400 | Score: 2 | Record: 4 | Mean: 0.75 | ε: 0.596 | Steps: 175,490
